City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,chibougamau,49.9168,-74.3659,14.79,77,0,4.61,CA,1694652302
268,kamloops,50.6665,-120.3192,24.86,29,20,5.75,CA,1694652302
269,zhangye,38.9342,100.4517,19.74,28,99,19.98,CN,1694652302
270,nagqu,31.5,92.0,3.52,66,0,2.95,CN,1694652302
271,burela de cabo,43.65,-7.4,19.54,89,89,11.41,ES,1694652303
272,nar'yan-mar,67.6713,53.087,14.5,85,100,19.39,RU,1694652065
273,crucecita,-28.95,-58.9833,7.91,96,4,3.49,AR,1694652303
274,leninskiy,54.2781,37.4558,10.07,79,7,1.83,RU,1694652303
275,fukuecho,32.6881,128.8419,26.2,94,75,1.14,JP,1694652303
276,antofagasta,-23.65,-70.4,15.6,69,6,5.46,CL,1694652111
277,walvis bay,-22.9575,14.5053,11.72,93,0,5.75,NA,1694652134
278,kasamwa,-2.85,32.4333,20.95,65,6,9.04,TZ,1694652303
279,tadine,-21.55,167.8833,22.16,69,99,21.99,NC,1694652303
280,chunskiy,56.0815,99.6342,10.14,84,35,0.38,RU,1694652303
281,kokologo,12.1897,-1.8856,25.92,88,12,6.13,BF,1694652304
282,amungan,15.3652,119.9582,28.59,74,100,5.06,PH,1694652304
283,piacabucu,-10.4056,-36.4344,23.05,89,16,7.4,BR,1694652304
284,susuman,62.7833,148.1667,3.72,81,100,5.7,RU,1694652304
285,carlsbad,33.1581,-117.3506,27.13,74,0,9.22,US,1694652062
286,kruisfontein,-34.0033,24.7314,12.49,76,1,25.28,ZA,1694652304
287,pariaman,-0.619,100.12,25.03,82,53,5.01,ID,1694652304
288,acajutla,13.5928,-89.8275,28.44,79,100,5.41,SV,1694652304
289,olinda,-8.0089,-34.8553,25.85,78,75,11.5,BR,1694652214
290,capitan bado,-23.2667,-55.5333,12.02,91,100,8.08,PY,1694652305
291,qamdo,31.1667,97.2333,4.87,49,0,0.83,CN,1694652305
292,ahar,38.4774,47.0699,13.38,84,100,5.77,IR,1694652305
293,rio grande,-32.035,-52.0986,12.06,92,100,18.9,BR,1694652105
294,taulaga,-11.0553,-171.0883,28.55,73,0,13.04,AS,1694652305
295,kargasok,59.0556,80.8572,9.88,91,14,4.34,RU,1694652305
296,benjamin constant,-4.3831,-70.0311,24.07,97,100,3.29,BR,1694652305
297,port douglas,-16.4833,145.4667,23.75,57,78,18.92,AU,1694652305
298,ceeldheer,3.8488,47.1806,24.38,85,19,17.16,SO,1694652305
299,patacamaya,-17.2333,-67.9167,8.0,33,15,3.53,BO,1694652305
300,la ronge,55.1001,-105.2842,21.14,46,100,6.91,CA,1694652306
301,es castell,39.8795,4.2854,23.38,94,20,8.05,ES,1694652306
302,fort mcmurray,56.7268,-111.381,21.77,30,0,19.57,CA,1694652306
303,benguela,-12.5763,13.4055,21.05,86,83,5.28,AO,1694652306
304,punta arenas,-53.15,-70.9167,3.06,81,75,9.22,CL,1694652162
305,newman,37.3138,-121.0208,33.19,37,0,5.01,US,1694652306
306,whitehorse,60.7161,-135.0538,15.43,34,75,10.36,CA,1694652306
307,rio gallegos,-51.6226,-69.2181,4.03,75,100,6.91,AR,1694652024
308,aral,40.5156,81.2636,21.54,30,0,13.69,CN,1694652306
309,hobyo,5.3505,48.5268,24.96,85,54,22.79,SO,1694652307
310,el paraiso,13.8667,-86.55,23.1,73,7,3.49,HN,1694652307
311,novyy urengoy,66.0833,76.6333,9.72,81,1,11.1,RU,1694652026
312,adi keyh,14.8444,39.3772,16.59,65,5,0.78,ER,1694652307
313,mana,5.6592,-53.7767,25.97,83,13,10.85,GF,1694652307
314,agat village,13.3886,144.6585,31.06,79,20,5.75,GU,1694652307
315,selfoss,63.9331,-20.9971,7.8,80,100,9.33,IS,1694652307
316,utrik,11.2278,169.8474,28.63,76,17,13.06,MH,1694652307
317,ad dabbah,18.05,30.95,33.35,23,100,15.77,SD,1694652307
318,rosetta,31.4044,30.4164,25.24,73,0,12.26,EG,1694652308
319,yelizovo,53.1873,158.3805,22.08,64,75,4.47,RU,1694652308
320,vyaz'ma,55.2104,34.2951,8.76,80,0,6.91,RU,1694652234
321,tidjikja,18.5564,-11.4271,34.21,23,2,10.2,MR,1694652308
322,porto velho,-8.7619,-63.9039,28.03,78,0,0.0,BR,1694652089
323,coahuayana de hidalgo,18.7,-103.6583,28.08,89,79,4.34,MX,1694652308
324,ataq,14.5377,46.8319,26.87,58,98,5.08,YE,1694652308
325,salym,60.0625,71.4789,10.57,95,57,0.51,RU,1694652308
326,ugoofaaru,5.6667,73.0,28.11,76,100,11.61,MV,1694652308
327,las heras,-46.5419,-68.9359,9.28,48,100,26.6,AR,1694652309
328,tofol,5.3248,163.0078,30.88,79,75,3.44,FM,1694652309
329,lerwick,60.1545,-1.1494,12.0,65,100,20.07,GB,1694652309
330,belmonte,-15.8631,-38.8828,22.63,84,0,7.34,BR,1694652309
331,flying fish cove,-10.4217,105.6791,25.82,73,75,13.8,CX,1694652309
332,birniwa,12.7903,10.2348,26.48,68,100,14.5,NG,1694652309
333,khabarovsk,48.4808,135.0928,17.89,63,0,7.0,RU,1694652309
334,aasiaat,68.7098,-52.8699,4.86,71,100,16.35,GL,1694652309
335,fortuna,40.5982,-124.1573,21.63,77,20,11.5,US,1694652309
336,pedernales,18.0384,-71.744,28.71,77,100,3.06,DO,1694652310
337,vorkuta,67.5,64.0,8.59,88,34,14.07,RU,1694652072
338,sur,22.5667,59.5289,29.41,64,0,7.27,OM,1694652310
339,swift current,50.2834,-107.8014,21.45,49,20,16.11,CA,1694652310
340,mao,39.8885,4.2658,23.31,94,20,8.05,ES,1694652310
341,ambon,-3.6954,128.1814,28.08,78,40,6.91,ID,1694652310
342,hermanus,-34.4187,19.2345,12.35,79,100,16.71,ZA,1694652310
343,buka,40.8108,69.1986,13.0,41,0,4.36,UZ,1694652310
344,neyriz,29.1988,54.3278,24.2,17,0,2.93,IR,1694652310
345,luderitz,-26.6481,15.1594,11.81,86,0,14.47,NA,1694652311
346,tekirova,36.5017,30.5272,27.21,32,0,5.77,TR,1694652311
347,shizunai-furukawacho,42.3339,142.3669,22.21,88,100,3.06,JP,1694652311
348,tangshan,39.6333,118.1833,22.37,53,0,5.21,CN,1694652311
349,santa cruz do capibaribe,-7.9575,-36.2047,19.87,94,27,6.06,BR,1694652311
350,usinsk,65.9939,57.5281,9.14,92,97,16.11,RU,1694652311
351,spanish springs,39.6491,-119.7074,28.77,23,0,9.22,US,1694652311
352,tura,25.5198,90.2201,24.18,91,5,5.01,IN,1694652311
353,omdurman,15.6445,32.4777,32.06,39,51,6.53,SD,1694652311
354,port blair,11.6667,92.75,25.02,88,100,6.91,IN,1694652312
355,hinigaran,10.2667,122.9,27.93,78,100,6.6,PH,1694652312
356,port alfred,-33.5906,26.891,17.32,77,6,8.99,ZA,1694652312
357,gidam,18.9833,81.4,22.26,99,100,2.1,IN,1694652312
358,blagoveshchensk,50.2667,127.5333,9.34,100,75,6.71,RU,1694652312
359,praia,14.9215,-23.5087,26.3,89,20,6.91,CV,1694652088
360,timimoun,29.2639,0.231,31.21,25,100,14.97,DZ,1694652312
361,aripuana,-9.1667,-60.6333,29.57,37,36,2.01,BR,1694652312
362,saint-denis,48.9167,2.3333,17.88,91,0,3.44,FR,1694652312
